,best_epoch_mean,best_epoch_std,best_test_loss_mean,best_test_loss_std,datasetname,model,n_normflows,percent,test_error_rate_mean,test_error_rate_std,test_measures
177,83.1,108.379379958,2.4503383118,1.49048542129,concrete,planarflowdet,20,0.25,106.401291656,178.404852269,best_val_loss
178,44.6,68.7869173608,1.53373440246,0.111158190208,concrete,planarflowdet,1,0.5,5.31353521347,0.845019379187,best_val_loss
179,54.6,74.2431141588,1.49653802026,0.121597599288,concrete,planarflowdet,2,0.5,inf,,best_val_loss
180,149.4,113.12046676,1.59061233496,0.445216021992,concrete,planarflowdet,3,0.5,12.3481067657,2.81856904887,best_val_loss
181,55.9,68.6315525105,15.2950519161,2.34228837451,concrete,planarflowdet,4,0.5,8.49573078156,2.99984813877,best_val_loss
182,77.6,75.1041942903,2.07166458611,0.420870082901,concrete,planarflowdet,8,0.5,inf,,best_val_loss
183,105.5,109.203708728,2.26048769658,0.709932316254,concrete,planarflowdet,20,0.5,209.596134377,281.995439239,best_val_loss
184,104.0,195.568913685,2.64792635056,0.484971618753,concrete,planarflowdet,1,1.0,5.47053012848,1.31450883078,best_val_loss
185,59.2,64.1604239387,2.04507968866,0.602449907499,concrete,planarflowdet,2,1.0,7.38058252335,1.64671288985,best_val_loss
186,76.7,86.4164914817,1.30432012367,0.297087315833,concrete,planarflowdet,3,1.0,10.6138847828,3.01559728797,best_val_loss
187,91.2,61.6665225224,1.89065068439,0.392179710548,concrete,planarflowdet,4,1.0,8.88941845894,0.857124062036,best_val_loss
188,45.2,64.3580608782,23.1991173963,4.2533339226,concrete,planarflowdet,8,1.0,24.010830307,19.2731176107,best_val_loss
189,65.6,84.869546953,2.27143262721,0.505411497649,concrete,planarflowdet,20,1.0,11.2244051456,3.58760317626,best_val_loss
190,27.6,60.1617818885,0.53345114745,0.67631170296,concrete,baselinedetplus,1,0.25,inf,,best_val_loss
191,4.4,4.10365690574,1.19777506115,0.616420061965,concrete,baselinedetplus,2,0.25,16.4998983383,13.0725599326,best_val_loss
192,22.8,31.9023510105,2.21761745712,0.198296301249,concrete,baselinedetplus,3,0.25,27.9415250778,11.4806591831,best_val_loss
193,49.8,57.3285269303,1.16159537602,0.655168227033,concrete,baselinedetplus,4,0.25,inf,,best_val_loss
194,24.3,50.5886350873,0.973021555902,1.24053896421,concrete,baselinedetplus,8,0.25,inf,,best_val_loss
195,22.9,28.8147531657,2.65219286576,0.381711136694,concrete,baselinedetplus,20,0.25,61.868302536,22.5308945827,best_val_loss
196,16.4,30.6274386784,1.48600018696,0.227862341387,concrete,baselinedetplus,1,0.5,15.8335594177,6.30516916769,best_val_loss
197,10.4,8.12649986156,1.00751286109,0.522794296257,concrete,baselinedetplus,2,0.5,12.8373746395,7.70296562647,best_val_loss
198,18.3,31.7554719694,2.17941654539,0.174382315934,concrete,baselinedetplus,3,0.5,27.1537101746,9.88356658438,best_val_loss
199,14.7,16.8585289987,2.41311685507,0.125549930076,concrete,baselinedetplus,4,0.5,31.7968652725,10.5172934732,best_val_loss
200,22.0,17.8157233926,1.83918468883,0.384295441983,concrete,baselinedetplus,8,0.5,28.0631029129,12.4835676863,best_val_loss
201,18.1,21.2153246499,2.69033234235,0.384765491461,concrete,baselinedetplus,20,0.5,63.1931987762,25.874984555,best_val_loss
202,25.6,39.4669481972,0.675286687462,0.437435086246,concrete,baselinedetplus,1,1.0,inf,,best_val_loss
203,37.7,32.2367802362,0.843628155606,0.528827795289,concrete,baselinedetplus,2,1.0,inf,,best_val_loss
204,8.5,6.32850693292,1.34025944089,0.556098722174,concrete,baselinedetplus,3,1.0,16.8529133797,9.20385984507,best_val_loss
205,9.9,9.63794583923,1.34400780687,0.437566498708,concrete,baselinedetplus,4,1.0,inf,,best_val_loss
206,17.0,17.2742583054,1.91278690968,0.331828163143,concrete,baselinedetplus,8,1.0,28.743148613,9.47283869512,best_val_loss
207,19.7,17.572990639,2.67001145742,0.228719958069,concrete,baselinedetplus,20,1.0,61.2030342102,15.0398826292,best_val_loss
208,47.1,93.6605039491,5.35635811642,0.972942679639,concrete,baselineplus,1,0.25,7.96016802788,2.38985801986,best_val_loss
209,65.2,88.4961016091,68.590460773,15.5755292,concrete,baselineplus,2,0.25,17.3758026123,0.986403065652,best_val_loss
210,173.6,349.785991715,4.26852659454,0.620087964472,concrete,baselineplus,3,0.25,9.42652721405,3.39506507808,best_val_loss
211,48.9,97.9371737391,23.0366987988,5.29611643031,concrete,baselineplus,4,0.25,9.12360935211,3.22694690172,best_val_loss
