,batch_size,best_epoch,best_test_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures
109,100.0,153.0,1737.14590993,boston,1.0,planarflow,2,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,794.809692383,best_val_loss
110,10.0,497.0,3902.74642914,boston,5.0,planarflow,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,8.29109382629,best_val_loss
111,10.0,124.0,1143.26819087,boston,1.0,planarflow,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,226.433425903,best_val_loss
112,100.0,320.0,19786.872549,boston,2.0,planarflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,566.455505371,best_val_loss
113,10.0,0.0,inf,boston,2.0,planarflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,inf,best_val_loss
114,100.0,539.0,4.42747736912,boston,1.0,planarflow,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,13.3317098618,best_val_loss
115,10.0,352.0,14.6174262552,boston,5.0,planarflow,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,14.694270134,best_val_loss
116,10.0,353.0,11.8885898964,boston,6.0,planarflow,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,10.6818189621,best_val_loss
117,10.0,221.0,1338.91337316,boston,1.0,planarflow,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,155.724655151,best_val_loss
118,10.0,723.0,10.4180425008,boston,5.0,planarflow,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,6.91790390015,best_val_loss
119,100.0,0.0,inf,boston,2.0,planarflow,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,inf,best_val_loss
120,10.0,329.0,6.16133536545,boston,2.0,planarflow,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,7.92382001877,best_val_loss
121,100.0,361.0,4.36326943192,boston,2.0,planarflow,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,11.3530197144,best_val_loss
122,10.0,359.0,7.24649586397,boston,4.0,planarflow,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,8.93759632111,best_val_loss
123,100.0,332.0,177.628221624,boston,6.0,planarflow,4,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,7.92395114899,best_val_loss
124,100.0,471.0,8.28717549642,boston,1.0,planarflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,19.9731483459,best_val_loss
125,100.0,0.0,inf,boston,3.0,planarflow,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,inf,best_val_loss
126,10.0,656.0,6.0723733341,boston,6.0,baselinedet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,22.7282485962,best_val_loss
127,100.0,160.0,2.80535858753,boston,2.0,baselinedet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,20.7590007782,best_val_loss
128,10.0,428.0,2.6985913445,boston,4.0,baselinedet,3,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,21.5396308899,best_val_loss
129,10.0,22.0,2.26682520848,boston,1.0,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,21.0732765198,best_val_loss
130,100.0,123.0,2.74865902171,boston,2.0,baselinedet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,23.6867828369,best_val_loss
131,10.0,380.0,1.27487332213,boston,5.0,baselinedet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,7.12345123291,best_val_loss
132,10.0,786.0,0.812075671028,boston,4.0,baselinedet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,5.00321435928,best_val_loss
133,10.0,249.0,0.730846255433,boston,5.0,baselinedet,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,4.87576627731,best_val_loss
134,100.0,147.0,1.99123472326,boston,4.0,baselinedet,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.5,14.8944950104,best_val_loss
135,10.0,96.0,1.578956604,boston,1.0,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,10.2021083832,best_val_loss
136,10.0,302.0,0.763446882659,boston,5.0,baselinedet,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,4.46878194809,best_val_loss
137,10.0,238.0,0.62991400326,boston,6.0,baselinedet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,4.05984354019,best_val_loss
138,10.0,402.0,0.429225061454,boston,2.0,baselinedet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.30047655106,best_val_loss
139,10.0,278.0,0.523443970026,boston,1.0,baselinedet,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.44690513611,best_val_loss
140,10.0,212.0,0.475862989239,boston,4.0,baselinedet,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.36770486832,best_val_loss
141,10.0,151.0,0.262828901702,boston,5.0,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,2.69449973106,best_val_loss
142,100.0,248.0,1.29908378451,boston,3.0,baselinedet,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,8.72104358673,best_val_loss
143,10.0,180.0,0.333007924697,boston,7.0,baselinedet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.07913136482,best_val_loss
144,100.0,522.0,243.368203677,boston,4.0,radialflow,1,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,8.42138957977,best_val_loss
145,100.0,469.0,1.92538290693,boston,2.0,radialflow,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,9.51483631134,best_val_loss
146,100.0,567.0,108.159961754,boston,4.0,radialflow,3,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.25,7.66336536407,best_val_loss
147,10.0,716.0,3.6051665892,boston,1.0,radialflow,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,7.54193401337,best_val_loss
148,100.0,400.0,2.24562980769,boston,2.0,radialflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,7.18436908722,best_val_loss
149,10.0,0.0,inf,boston,2.0,radialflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,inf,best_val_loss
150,100.0,341.0,2.47720137671,boston,1.0,radialflow,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,6.79956102371,best_val_loss
151,100.0,247.0,4.75882413496,boston,3.0,radialflow,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,7.81026124954,best_val_loss
152,100.0,239.0,79.9917846435,boston,4.0,radialflow,3,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.5,9.89348697662,best_val_loss
153,10.0,730.0,3.06437715946,boston,1.0,radialflow,4,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,7.4273223877,best_val_loss
154,100.0,332.0,3.8998225832,boston,4.0,radialflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,7.84070062637,best_val_loss
155,100.0,0.0,inf,boston,2.0,radialflow,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,inf,best_val_loss
156,100.0,416.0,6.51960692667,boston,2.0,radialflow,1,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,9.45751094818,best_val_loss
157,100.0,241.0,2.70524768387,boston,2.0,radialflow,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.74921178818,best_val_loss
158,100.0,521.0,13.4657721032,boston,2.0,radialflow,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,4.78518009186,best_val_loss
159,100.0,130.0,17.1562454762,boston,3.0,radialflow,4,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,12.4578437805,best_val_loss
160,100.0,233.0,4.61201767381,boston,1.0,radialflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.90297651291,best_val_loss
161,100.0,0.0,inf,boston,3.0,radialflow,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,inf,best_val_loss
162,10.0,302.0,1.86970549648,concrete,2.0,mixture,1,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001,0.25,13.483590126,best_val_loss
163,10.0,314.0,15.7134430524,concrete,5.0,mixture,2,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001,0.25,18.9883079529,best_val_loss
164,10.0,259.0,3.65648302986,concrete,2.0,mixture,3,0.912909685765,rmsprop,0.973447443509,2.81618140033e-05,0.0001,0.25,15.1504669189,best_val_loss
