,datasetname,model,n_normflows,test_measures,value0,value1,value2
262,energy,baselinedet,8,best_val_loss,-1.38258863177,-1.37051696777,-1.30634602138
263,energy,baselinedet,20,best_val_loss,-1.0671875,-0.961488778251,-0.910840170724
264,energy,radialflow,1,best_val_loss,49.4091115195,51.0025214524,55.1999204009
265,energy,radialflow,2,best_val_loss,14.7237468466,15.3621032236,15.7369311176
266,energy,radialflow,3,best_val_loss,5.89357052806,6.73134121693,8.77235267366
267,energy,radialflow,4,best_val_loss,5.8983028762,13.0754026786,18.924119847
268,energy,radialflow,8,best_val_loss,2.02077915544,2.04055201995,2.2876148752
269,energy,radialflow,20,best_val_loss,inf,inf,inf
270,energy,mixture,1,val_error_rate,2.75634479523,2.89111280441,3.0038523674
271,energy,mixture,2,val_error_rate,2.49243974686,2.52460360527,2.63344693184
272,energy,mixture,3,val_error_rate,2.38246297836,2.55892181396,2.63103270531
273,energy,mixture,4,val_error_rate,2.64856147766,3.11543774605,3.15145301819
274,energy,mixture,8,val_error_rate,2.37343716621,2.88193225861,3.63245797157
275,energy,mixture,20,val_error_rate,10.287279129,14.1035413742,15.1149988174
276,energy,baseline,1,val_error_rate,2.78212380409,2.88511323929,3.05556130409
277,energy,baseline,2,val_error_rate,2.3149766922,2.35753941536,2.38471841812
278,energy,baseline,3,val_error_rate,2.45500254631,2.56310963631,2.58168506622
279,energy,baseline,4,val_error_rate,2.26536250114,2.43191003799,2.69891762733
280,energy,baseline,8,val_error_rate,2.36155605316,2.62293243408,2.651658535
281,energy,baseline,20,val_error_rate,6.63510131836,9.47188282013,9.55018615723
282,energy,planarflowdet,1,val_error_rate,0.793780148029,1.11285960674,1.57374620438
283,energy,planarflowdet,2,val_error_rate,0.96217828989,1.23398530483,1.56503856182
284,energy,planarflowdet,3,val_error_rate,2.16163539886,2.40227031708,2.60569381714
285,energy,planarflowdet,4,val_error_rate,2.80773901939,2.85859203339,2.96597599983
286,energy,planarflowdet,8,val_error_rate,5.01819705963,9.07446670532,13.2731657028
287,energy,planarflowdet,20,val_error_rate,117.697624207,286.045898438,1111.85583496
288,energy,baselinedetplus,1,val_error_rate,0.439850360155,0.494063943624,0.510937392712
289,energy,baselinedetplus,2,val_error_rate,0.667534887791,0.700220763683,0.779455959797
290,energy,baselinedetplus,3,val_error_rate,0.765361845493,0.775500893593,0.845627069473
291,energy,baselinedetplus,4,val_error_rate,1.06210482121,1.18857288361,2.19383358955
292,energy,baselinedetplus,8,val_error_rate,5.15862226486,5.67635250092,5.7010178566
293,energy,baselinedetplus,20,val_error_rate,10.2353258133,10.4356422424,23.6045970917
294,energy,radialflowdet,1,val_error_rate,0.612055838108,0.621614217758,0.6442720294
295,energy,radialflowdet,2,val_error_rate,0.456475108862,0.480684906244,0.487097084522
296,energy,radialflowdet,3,val_error_rate,0.521435618401,0.534436762333,0.550038695335
297,energy,radialflowdet,4,val_error_rate,0.590421378613,0.592830896378,0.598878264427
298,energy,radialflowdet,8,val_error_rate,0.591152489185,0.591790139675,0.592890739441
299,energy,radialflowdet,20,val_error_rate,inf,inf,inf
300,energy,baselineplus,1,val_error_rate,2.97580575943,3.0693321228,3.11653709412
301,energy,baselineplus,2,val_error_rate,2.37011742592,2.67683386803,3.73549795151
302,energy,baselineplus,3,val_error_rate,3.4311299324,3.47484827042,3.63246154785
303,energy,baselineplus,4,val_error_rate,2.32884097099,6.85427618027,7.54257249832
304,energy,baselineplus,8,val_error_rate,9.40450000763,9.58828544617,10.3128757477
305,energy,baselineplus,20,val_error_rate,9.51058864594,10.2259206772,10.8649921417
306,energy,planarflow,1,val_error_rate,2.87501144409,2.96548700333,2.97188282013
307,energy,planarflow,2,val_error_rate,2.43255734444,2.52098464966,2.70852971077
308,energy,planarflow,3,val_error_rate,2.32966756821,2.37902665138,2.4065747261
309,energy,planarflow,4,val_error_rate,2.3181874752,2.43704485893,2.44947171211
310,energy,planarflow,8,val_error_rate,2.36324477196,2.54454684258,2.76429009438
311,energy,planarflow,20,val_error_rate,inf,inf,inf
312,energy,baselinedet,1,val_error_rate,0.482999145985,0.50220656395,0.568565487862
313,energy,baselinedet,2,val_error_rate,0.631696522236,0.6874563694,0.729858636856
314,energy,baselinedet,3,val_error_rate,0.664392709732,0.691314399242,0.76825594902
315,energy,baselinedet,4,val_error_rate,1.05830097198,1.23673355579,1.87657308578
316,energy,baselinedet,8,val_error_rate,0.608076334,0.618913114071,0.624722659588
317,energy,baselinedet,20,val_error_rate,0.778778970242,0.822931408882,0.971434891224
318,energy,radialflow,1,val_error_rate,16.0572719574,21.1540756226,21.1759967804
319,energy,radialflow,2,val_error_rate,13.4833106995,15.0743303299,15.160741806
320,energy,radialflow,3,val_error_rate,9.59667873383,9.82115745544,11.8927669525
321,energy,radialflow,4,val_error_rate,10.4964332581,11.7652730942,12.5822134018
322,energy,radialflow,8,val_error_rate,3.34252285957,3.59416556358,3.73069405556
323,energy,radialflow,20,val_error_rate,inf,inf,inf
324,kin8nm,mixture,8,best_val_loss,1.76478425313,1.77234624847,1.81626654731
325,kin8nm,mixture,1,best_val_loss,4.4840981088,8.82092456077,9.64833792503
326,kin8nm,mixture,2,best_val_loss,1.35583759504,1.44426856312,1.46085422175
327,kin8nm,mixture,3,best_val_loss,3.28164609446,3.74460285466,3.85249509734
328,kin8nm,mixture,4,best_val_loss,1.98635955232,5.53903859043,5.65121511237
329,kin8nm,baseline,8,best_val_loss,1.54942459065,1.59842133974,1.61792404464
330,kin8nm,baseline,1,best_val_loss,3.49393193659,4.84587564443,5.52597732337
331,kin8nm,baseline,2,best_val_loss,1.43363053237,1.45049646476,1.48722774847
332,kin8nm,baseline,3,best_val_loss,2.70257750307,2.8679460286,2.98574727101
333,kin8nm,baseline,4,best_val_loss,1.8354970627,6.97299745968,7.37319779642
334,kin8nm,planarflowdet,8,best_val_loss,0.985720060188,1.03863704581,1.05031310498
335,kin8nm,planarflowdet,1,best_val_loss,1.79437415753,1.88382177172,1.96314606843
336,kin8nm,planarflowdet,2,best_val_loss,0.684156526395,0.695413191467,0.752120496135
337,kin8nm,planarflowdet,3,best_val_loss,2.70558289181,2.71792929218,2.86754364868
338,kin8nm,planarflowdet,4,best_val_loss,0.975854612108,1.045996958,1.04783950847
339,kin8nm,baselinedetplus,8,best_val_loss,0.122331179901,0.139355346762,0.159615038533
340,kin8nm,baselinedetplus,1,best_val_loss,0.160152476654,0.167572621084,0.168339602669
