,batch_size,best_val_error,best_val_loss,datasetname,minus_log_s1,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate
158,100,9.08061122894,2.10325654166,energy,6,planarflow,3,0.902803170457,adam,0.83318129892,0.000310746581844,0.01
159,1,10.8234214783,3.4358863104,energy,4,planarflow,4,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
160,1,5.65012598038,2.35238400414,energy,1,planarflow,8,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
161,1,inf,,energy,2,planarflow,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
162,100,2.01491928101,0.955404454186,energy,1,planarflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
163,10,0.96217828989,0.624296210153,energy,4,planarflowdet,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001
164,10,3.0119202137,0.650120249816,energy,2,planarflowdet,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
165,1,2.96597599983,0.957021631513,energy,1,planarflowdet,4,0.937634133118,adam,0.00227692082866,0.000164599198995,0.001
166,100,5.01819705963,0.769702441692,energy,1,planarflowdet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
167,1,45.8860054016,17.4222424825,energy,1,planarflowdet,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
168,100,47.8904571533,49.4091115195,energy,1,radialflow,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
169,10,16.1900062561,14.7237468466,energy,1,radialflow,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
170,100,16.5748500824,5.89357052806,energy,1,radialflow,3,0.957318230759,rmsprop,0.955480723872,1.01791199709e-05,0.0001
171,1,14.1834354401,5.8983028762,energy,1,radialflow,4,0.937634133118,adam,0.00227692082866,0.000164599198995,0.001
172,1,3.90074372292,1.87348207516,energy,1,radialflow,8,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
173,1,inf,inf,energy,2,radialflow,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
174,100,0.621614217758,-0.949951244536,energy,1,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,1.0534947547e-05,0.01
175,10,0.487097084522,-1.57457700457,energy,1,radialflowdet,2,0.974542020391,adam,0.89080604545,0.000338544437162,0.001
176,1,0.429805189371,-1.63544751122,energy,1,radialflowdet,3,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
177,10,0.598878264427,-1.01245180402,energy,3,radialflowdet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
