,best_val_error,best_val_loss,datasetname,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_step_rate
173,inf,495687.95854,powerplant,radialflowdet,20,0.822465794563,adam,0.81184023975,0.001
174,10.7725028992,6.19329517716,powerplant,mixture,1,0.972426099398,adam,0.893157953082,0.1
175,10.7404298782,5.11523979759,powerplant,mixture,2,0.822465794563,adam,0.81184023975,0.001
176,8.3217382431,3.84358795945,powerplant,mixture,3,0.918582946022,rmsprop,0.00497246690821,0.01
177,8.28343296051,3.79081507754,powerplant,mixture,4,0.937634133118,adam,0.00227692082866,0.001
178,8.21067047119,3.90519886651,powerplant,mixture,8,0.822465794563,adam,0.81184023975,0.001
179,8.31472682953,4.68013641287,powerplant,mixture,20,0.822465794563,adam,0.81184023975,0.001
180,22.833694458,3464.40568235,powerplant,radialflow,1,0.934125143078,adam,0.0076485879586,0.1
181,11.9316234589,37.0127273106,powerplant,radialflow,2,0.858941739876,adam,0.923833365374,0.01
182,14.4201526642,1150.65316045,powerplant,radialflow,3,0.822465794563,adam,0.81184023975,0.001
183,11.6995677948,27.1741645808,powerplant,radialflow,4,0.972426099398,adam,0.893157953082,0.1
184,8.0456943512,3.71561458122,powerplant,radialflow,8,0.822465794563,adam,0.81184023975,0.001
185,inf,inf,powerplant,radialflow,20,0.822465794563,adam,0.81184023975,0.001
186,8.54250717163,4.958856947,powerplant,baseline,1,0.972426099398,adam,0.893157953082,0.1
187,8.58419322968,5.36955784018,powerplant,baseline,2,0.972426099398,adam,0.893157953082,0.1
188,8.34544372559,3.84391132069,powerplant,baseline,3,0.918582946022,rmsprop,0.00497246690821,0.01
189,8.33775806427,3.82888939099,powerplant,baseline,4,0.937634133118,adam,0.00227692082866,0.001
190,8.03600502014,3.7274313895,powerplant,baseline,8,0.822465794563,adam,0.81184023975,0.001
191,8.15896224976,3.72107344271,powerplant,baseline,20,0.822465794563,adam,0.81184023975,0.001
192,9.06997776031,6.5487017591,powerplant,planarflow,1,0.972426099398,adam,0.893157953082,0.1
193,11.2179450989,5.96268320932,powerplant,planarflow,2,0.822465794563,adam,0.81184023975,0.001
194,8.46288108826,4.00389502718,powerplant,planarflow,3,0.918582946022,rmsprop,0.00497246690821,0.01
195,8.3714056015,3.90839549431,powerplant,planarflow,4,0.937634133118,adam,0.00227692082866,0.001
196,8.18369960785,3.8149452888,powerplant,planarflow,8,0.822465794563,adam,0.81184023975,0.001
197,inf,,powerplant,planarflow,20,0.822465794563,adam,0.81184023975,0.001
198,7.90110254288,3.41957973825,powerplant,baselinedet,1,0.822465794563,adam,0.81184023975,0.001
199,7.89301204681,3.36320279646,powerplant,baselinedet,2,0.946767059908,rmsprop,0.00572619189748,0.001
200,8.10294246674,3.41706979136,powerplant,baselinedet,3,0.822465794563,adam,0.81184023975,0.001
